x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost,janus_throughput,janus_p50,janus_p90,janus_p95,janus_p99,janus_aborts,janus_bytes,janus_cost,ddr_only_throughput,ddr_only_p50,ddr_only_p90,ddr_only_p95,ddr_only_p99,ddr_only_aborts,ddr_only_bytes,ddr_only_cost,calvin_throughput,calvin_p50,calvin_p90,calvin_p95,calvin_p99,calvin_aborts,calvin_bytes,calvin_cost,slog_throughput,slog_p50,slog_p90,slog_p95,slog_p99,slog_aborts,slog_bytes,slog_cost
0.0,,,,,,,,,,,,,,,,,28402,197.112651,264.457587,271.6570122,282.80006511999994,0.0,24725778723,31.4629344676,,,,,,,,,,,,,,,,,12473.0,417.799381,603.32859,669.037926,2380.347698600001,0.0,9922729304.0,13.6992751648,29290.0,205.396179,242.089614,246.805321,254.795873,0.0,24295477576.0,30.9465730912,22617.0,175.061083,800.2862904,1490.723503,1649.5607244,0.0,14832174406.0,19.5906092872,30532.0,182.6595245,230.307028,233.95237505,240.91078574000002,0.0,24907170731.0,31.6806048772
20.0,,,,,,,,,,,,,,,,,14856,202.315048,434.5929803,484.83526575,739.4077335200011,0.0,3566349483,6.0716193796,,,,,,,,,,,,,,,,,6078.0,758.0157995,1162.2960699999999,1616.9427997999978,16776.00254242,0.0,4854855723.0,7.617826867599999,20032.0,217.875067,536.9446710000001,589.2044959999998,644.3937209000001,0.0,18367709593.0,23.833251511600004,24267.0,214.623552,687.0990688,778.5282129999997,1017.8410634799998,0.0,15908393546.0,20.882072255200004,22332.0,182.294839,452.9650097,709.8610597999984,1918.1304363,0.0,20013650705.0,25.808380846000002
40.0,,,,,,,,,,,,,,,,,20646,276.88521249999997,304.82293699999997,312.56090754999997,370.91171642000023,0.0,3750902671,6.2930832052,,,,,,,,,,,,,,,,,8125.0,646.5635165,963.395809,1061.3970832999996,3143.56855914,0.0,6531641792.0,9.629970150400002,18067.0,229.048228,757.8658952000001,822.4632018999998,902.29930034,0.0,17920381735.0,23.296458082000004,24677.0,273.740024,531.6669462,593.9165387999999,687.878661,0.0,16205321796.0,21.2383861552,21997.0,182.9356105,595.6496179999999,692.2544305,774.4804938500001,0.0,21320584423.0,27.3767013076
60.0,,,,,,,,,,,,,,,,,23016,272.9692105,308.1245341,315.0964891,342.9604695500001,0.0,3980633776,6.5687605312,,,,,,,,,,,,,,,,,6926.0,636.8362764999999,1119.5705046,1377.3710493,8597.17640222,0.0,5732115408.0,8.6705384896,17734.0,276.3251905,569.6809442,671.22029905,703.55306023,0.0,19014884466.0,24.609861359200004,21614.0,238.067442,1317.8277008000052,1719.0487314999998,1824.42410692,0.0,14157230348.0,18.780676417600002,21009.0,180.17923150000001,638.3681541,997.4951667999989,1471.06681064,0.0,21887663624.0,28.057196348800005
80.0,,,,,,,,,,,,,,,,,18138,265.502162,371.2486311,426.05217259999984,445.5591162200004,0.0,3978035497,6.5656425964,,,,,,,,,,,,,,,,,7471.0,667.761946,1339.2370466,1578.9897523999998,3427.394724379999,0.0,5988850156.0,8.9786201872,17243.0,266.908202,644.6067555,833.2372118999998,893.8078882899999,0.0,19807176624.0,25.560611948800002,26401.0,160.77005300000002,496.8394242,551.9635857999999,591.64298178,0.0,16933375963.0,22.1120511556,19847.0,195.1798395,638.7529233000005,998.2788776499975,1288.4879457499999,0.0,22102654910.0,28.315185892000002
100.0,,,,,,,,,,,,,,,,,14810,345.418518,553.9981606,588.5692876500001,706.67725284,0.0,3239801860,5.679762232000001,,,,,,,,,,,,,,,,,6407.0,682.6259355,1513.0814853,2551.4412029,4193.294175460011,0.0,5212070668.0,8.046484801600002,16401.0,245.771274,670.4092360000002,796.8388494999999,1089.9713291799992,0.0,20053941709.0,25.856730050800003,26147.0,268.98631450000005,501.0002209,520.37024705,612.4563059199996,0.0,17157252311.0,22.3807027732,18709.0,219.220708,752.0295814000003,861.8128538999999,930.3656928199998,0.0,22190477451.0,28.420572941200003
