x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,13970,184.2822365,227.351933,231.210167,259.82072635000037,0.0,4479980686,0.12942183594222223,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,7428,202.315048,434.5929803,484.83526575,739.4077335200011,0.0,3566349483,0.11114921188222224,,,,,,,,,,,,,,,,
40.0,,,,,,,,,,,,,,,,,10323,276.88521249999997,304.82293699999997,312.56090754999997,370.91171642000023,0.0,3750902671,0.11484027564222224,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,11508,272.9692105,308.1245341,315.0964891,342.9604695500001,0.0,3980633776,0.11943489774222221,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,9069,265.502162,371.2486311,426.05217259999984,445.5591162200004,0.0,3978035497,0.11938293216222223,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,7405,345.418518,553.9981606,588.5692876500001,706.67725284,0.0,3239801860,0.10461825942222222,,,,,,,,,,,,,,,,
