x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,4063,188.650815,722.1484984000006,952.5472055999992,1469.6118335600006,0.0,0,14.336,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,567,4551.538822,6675.704197799995,14774.711237249996,15860.12243481,0.0,0,14.336,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,,31,106654.115639,147184.4776769,152110.8229823,156668.43656459,0.0,0,14.336,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,13,160178.8569835,275113.7593502,280031.66309955,281883.31251278,0.0,0,14.336,,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,5,371178.619897,718318.922622,731150.518081,734326.537318,0.0,0,14.336,,,,,,,,,,,,,,,,
500.0,,,,,,,,,,,,,,,,,2,707936.1173330001,1349271.8140209,1460893.4134304498,1490822.10251033,0.0,0,14.336,,,,,,,,,,,,,,,,
1000.0,,,,,,,,,,,,,,,,,1,1393632.872271,2708744.824134601,2867364.54279065,2906978.05511875,0.0,0,14.336,,,,,,,,,,,,,,,,
