x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,,,,,,,,,,,,,,,,,12794,249.887649,424.314209,441.019824,522.430277,0.0,0.0,14.336,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,12721,253.664503,488.69389239999987,710.9758906,922.5617471599999,0.0,2.0,14.376,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,11236,261.49726,577.5465148000003,728.3285808999997,1278.5147950399994,0.0,2.0,14.376,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,811,343.500062,5485.0030775,7742.2475647500005,11482.25499265,0.0,2.0,14.376,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,2612,1603.0331740000001,5466.8583954000005,6448.296751349997,9170.7353996,0.0,2.0,14.376,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,1391,2320.203017,18657.2951998,20251.9258175,21019.41565328,0.0,2.0,14.376,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,166,17258.958427,37730.015146499994,43870.48062325,45318.893896,0.0,2.0,14.376,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,35,97297.724991,128214.63185179999,139303.4295981,143527.94316564,0.0,2.0,14.376,,,,,,,,,,,,,,,,
