x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Janus_throughput,Janus_p50,Janus_p90,Janus_p95,Janus_p99,Janus_aborts,Janus_bytes,Janus_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,36270,102.129028,384.35731159999995,570.826058,2262.6937729599954,0.0,7466630128,10.7519561536,51810,62.2974705,87.67083600000001,304.65570575,1846.8656704000007,0.0,16166964033,21.192356839600002,47458,79.799066,184.16231700000023,550.3463015999992,1004.1978858000041,0.0,15333665170,20.192398204000003,29982,163.119883,442.2556030000002,595.5508136,739.48799804,0.0,8519354542,12.015225450400001,,,,,,,,,,,,,,,,
0.2,38234,91.3386995,129.7860235,394.89946175,2071.61630445,0.0,8157761330,11.581313596000001,51803,94.09911249999999,110.5132687,416.72481954999773,2408.556710010006,0.0,16121882245,21.138258694000005,46021,90.967878,150.4205142,432.8563602999991,1477.5883842999974,0.0,14838414550,19.59809746,33298,141.266083,412.2746344,544.9845909999999,664.94998988,0.0,9411131871,13.0853582452,,,,,,,,,,,,,,,,
0.4,39657,78.811182,128.49299260000004,3071.5564827999997,5308.353212040001,0.0,7037516780,10.237020136,51964,88.709938,200.72878580000022,485.49184390000005,891.2773597799992,0.0,16099446146,21.111335375200007,46145,74.7699635,112.16019600000003,495.9456372499997,1371.1231676099999,0.0,14881405667,19.649686800400005,34235,150.616245,374.403789,510.914672,647.956532,0.0,9684585635,13.413502762,,,,,,,,,,,,,,,,
0.6,37916,90.0777595,1273.1140366000002,3094.3739234499994,7046.417856490002,0.0,7345789147,10.606946976400002,53397,99.75416999999999,125.83769860000001,582.97108865,957.3299418399998,0.0,16672275745,21.798730894000002,46476,73.243443,237.4878330000004,484.3869070999989,875.9617418400001,0.0,15086009827,19.8952117924,35226,140.21495099999999,379.5592235,507.3225875499998,628.0262475699999,0.0,9930776932,13.7089323184,,,,,,,,,,,,,,,,
0.8,37719,87.096891,136.4366618,342.82799744999977,2299.368193499999,0.0,8282864274,11.731437128800001,55624,80.365904,240.45161860000005,260.8503159,304.94537938999986,0.0,17344419740,22.605303688000003,50298,90.871406,123.090563,722.5077045,2675.68711119998,0.0,16016364515,21.011637418000003,34673,146.850487,359.3088966000003,485.9557071999994,623.19316368,0.0,9731335214,13.4696022568,,,,,,,,,,,,,,,,
1.0,40105,78.96206699999999,108.18523870000001,720.4561252999988,4028.099656509997,0.0,8615435346,12.1305224152,43616,154.263559,186.28074189999998,193.69773955,213.66326716,0.0,13564095602,18.0689147224,47875,63.797816,123.76529,801.94406,5927.019702999988,0.0,14737208278,19.476649933600005,34790,155.304652,393.121502,507.0607535999995,603.0608143400002,0.0,9819916206,13.575899447200001,,,,,,,,,,,,,,,,
