x_var,Calvin_throughput,Calvin_p50,Calvin_p90,Calvin_p95,Calvin_p99,Calvin_aborts,Calvin_bytes,Calvin_cost,SLOG_throughput,SLOG_p50,SLOG_p90,SLOG_p95,SLOG_p99,SLOG_aborts,SLOG_bytes,SLOG_cost,Detock_throughput,Detock_p50,Detock_p90,Detock_p95,Detock_p99,Detock_aborts,Detock_bytes,Detock_cost,Janus_throughput,Janus_p50,Janus_p90,Janus_p95,Janus_p99,Janus_aborts,Janus_bytes,Janus_cost,Caerus_throughput,Caerus_p50,Caerus_p90,Caerus_p95,Caerus_p99,Caerus_aborts,Caerus_bytes,Caerus_cost,Mencius_throughput,Mencius_p50,Mencius_p90,Mencius_p95,Mencius_p99,Mencius_aborts,Mencius_bytes,Mencius_cost
0.0,39558,77.7973465,109.1403671,3220.5229601499973,5710.69271446,0.0,8451812772,11.934175326399998,59195,71.4805225,181.43896610000024,363.1191224999984,856.7818044400027,0.0,18216438811,23.651726573200005,48848,75.458403,111.02009919999998,279.50954549999983,1583.7969471100002,0.0,15752525693,20.695030831600004,24877,198.612499,519.778689,699.1157966999998,887.88202277,0.0,7143741741,10.3644900892,,,,,,,,,,,,,,,,
10.0,37382,89.5103905,131.9125663,285.75913889999987,2929.7842635299876,0.0,8238842430,11.678610916000002,60019,84.077421,125.45232840000001,174.3426327999998,503.98162840000003,0.0,18810839154,24.365006984800004,54069,83.482428,138.12697450000002,234.84377075,893.6158814499993,0.0,17656564452,22.979877342400002,24834,160.971229,842.3243429000001,866.1582389499999,935.6264096399999,0.0,7251314465,10.493577358,,,,,,,,,,,,,,,,
50.0,16122,245.988454,1729.4980438,6768.6338528,72647.26715388005,0.0,3606312997,6.1195755964,7763,429.261562,2659.7645523000015,7761.044379249991,44305.568106580016,0.0,2554123980,4.856948776,8244,427.3816065,1812.3254350000004,8553.008307549955,71306.12660981002,0.0,2718839044,5.0546068528,5918,351.374567,4292.227481600001,4401.9819062,5025.213800599999,0.0,1810642633,3.9647711595999997,,,,,,,,,,,,,,,,
100.0,7189,548.4512345,2742.8496658000067,5233.6288656,9291.919646549997,0.0,1623386401,3.7400636811999997,3181,1611.6697775,3627.0757612,3989.071884899998,4795.619372700001,0.0,1122734260,3.139281112,3220,1812.328422,3530.4799567,3872.21214605,5548.614504900005,0.0,1161982966,3.1863795592,1920,2220.6175325,8489.273712299999,8639.909176950001,9715.604876900004,0.0,615533246,2.5306398952,,,,,,,,,,,,,,,,
250.0,3250,1344.275948,20789.7950592,23537.578039649998,25820.20236529,0.0,740391777,2.6804701324,1059,5384.9631805,9795.2450577,10575.517083049996,12834.79389176,0.0,413177651,2.2878131811999998,1058,4977.111336,9832.976727499998,12861.423734899989,17855.005992630002,0.0,447641766,2.3291701192,864,3931.518408,21124.4810536,21649.304578400002,23304.43967648,0.0,304631688,2.1575580256,,,,,,,,,,,,,,,,
500.0,1498,2657.601866,21768.687803,24666.346103,26766.6115478,0.0,354476369,2.2173716428,532,8937.001898,20662.8194745,23865.118846499994,27450.50141268002,0.0,214378712,2.0492544544,496,7838.731296,20026.7303002,33711.0239668,46921.4322996,0.0,216480653,2.0517767836000003,366,9065.881949,37523.3458008,42836.14871339999,47825.443842,0.0,154109216,1.9769310592,,,,,,,,,,,,,,,,
1000.0,500,6577.165731,25488.4250806,32990.353068,37318.23730650001,0.0,132256092,1.9507073104000001,252,20219.228194,37587.299325399996,42302.85919955,53744.61877651,0.0,106922053,1.9203064636,259,18865.269631,36269.4846828,40855.2069366,44333.84277688,0.0,120792305,1.936950766,159,18781.050446,83426.23309,86468.3005105,98351.6853433,0.0,83428252,1.8921139024,,,,,,,,,,,,,,,,
