Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
47515223195649,True,False,1749555992397128703,1749555992715259622,318.13092,0.16137,0.00688,0.0,3.19338,309.3542,0.00049,1.25404,0.23053,0.0,3.93002
116827405418496,False,False,1749556000313375295,1749556001494879360,1181.50406,0.0009,0.01622,0.0,4.571,47.72739,0.00037,1.34225,0.02634,0.0,1127.8196
21144123998209,True,False,1749555991453729883,1749555991651171764,197.44188,0.13241,0.0115,0.0,3.03352,6.16549,0.00053,181.19246,1.8128,0.0,5.09316
30047591202817,False,False,1749555991743129657,1749555991965840344,222.71069,0.00037,0.01166,0.0,3.9721,45.62516,0.00025,169.76677,0.01913,0.0,3.31524
53687091200001,True,False,1749555992697106751,1749555993069458665,372.35191,0.21587,0.01465,0.0,4.29872,0.35751,0.00027,43.90629,0.65319,0.0,322.90543
71798968287232,True,False,1749555993951766747,1749555994602217544,650.4508,0.4013,0.01785,0.0,3.73294,640.16592,0.00053,3.3828,0.03909,0.0,2.71036
154945240170496,False,False,1749556009203650200,1749556011393449515,2189.79931,0.00081,0.01445,0.0,4.78907,2128.26289,0.00026,54.22454,0.01616,0.0,2.49114
168263933755393,True,False,1749556013766485905,1749556016227337013,2460.85111,0.02628,0.01186,0.0,4.46284,2448.39973,0.00065,2.66793,0.84152,0.0,4.4403
173667002613761,True,False,1749556015832313034,1749556018448111711,2615.79868,0.10869,0.00811,0.0,3.95072,2608.39938,0.00061,0.34461,0.0879,0.0,2.89866
175883205738497,False,False,1749556016585629061,1749556019259949857,2674.3208,0.0007,0.01051,0.0,2.66015,53.8437,0.00092,0.49015,0.02646,0.0,2617.2882
49430778609665,False,False,1749555992484442229,1749555992815085331,330.6431,0.0006,0.01189,0.0,4.72447,284.18375,0.00029,37.57117,0.01987,0.0,4.13106
192320045580288,False,False,1749556024288666315,1749556028823156921,4534.49061,0.00065,0.01368,0.0,0.27067,4452.12178,0.00024,79.88194,0.01846,0.0,2.18319
