Txn_ID,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Other (ms)
1204111261302784,1748851309586558906,1748851309774904458,188.346,5.986,180.925,1.435
877972919681025,1748851299475971457,1748851299678507221,202.536,1.203,192.301,9.032
1683399546765312,1748851324030979033,1748851324229022451,198.043,3.531,187.092,7.42
869649273061376,1748851299217481421,1748851299415894449,198.413,3.031,190.729,4.654
1376880615751680,1748851314745653594,1748851314943403654,197.75,0.096,191.047,6.607
630484019183616,1748851291607581465,1748851291822940379,215.359,0.069,203.887,11.403
1220037000036352,1748851310075752001,1748851310272215850,196.464,3.312,185.939,7.213
891910088556545,1748851299910049387,1748851300106155478,196.106,1.694,190.715,3.697
1295293416996864,1748851312328602911,1748851312517526121,188.923,0.103,176.329,12.491
661141495742464,1748851292624948199,1748851292835422865,210.475,0.049,203.064,7.362
1733118088183809,1748851325545126977,1748851325740483228,195.356,4.132,184.987,6.238
507102493671425,1748851287664821919,1748851287880400242,215.578,11.593,205.822,0.0
1180068034379777,1748851308852314354,1748851309046791053,194.477,0.045,185.547,8.885
716795681964032,1748851294440043093,1748851294655562106,215.519,3.977,207.029,4.513
285714109431809,1748851280196623661,1748851280425134267,228.511,0.29,221.78,6.44
506187665637377,1748851287633169426,1748851287842283642,209.114,0.733,203.06,5.321
924878257520641,1748851300934148109,1748851301137571751,203.424,3.056,195.094,5.274
342699735515136,1748851282228599371,1748851282452546950,223.948,3.022,212.297,8.629
704194247917569,1748851294037891235,1748851294243321824,205.431,1.148,197.794,6.489
429930521296896,1748851285175523411,1748851285388536325,213.013,0.069,206.74,6.203
343356865511425,1748851282250060076,1748851282479706895,229.647,0.032,222.756,6.859
746095948857344,1748851295382954035,1748851295584489492,201.535,1.355,190.691,9.49
761536356286464,1748851295866715090,1748851296068897605,202.183,0.767,193.705,7.71
452466214699009,1748851285911484258,1748851286122095499,210.611,1.109,203.091,6.411
430488867045377,1748851285195771352,1748851285407658815,211.887,8.757,205.752,0.0
112218905509889,1748851273005928391,1748851273315934381,310.006,0.022,305.612,4.372
1619361584381952,1748851322065979145,1748851322259895938,193.917,0.816,184.405,8.696
424501682634753,1748851284996515531,1748851285212368247,215.853,2.644,204.371,8.838
909188741988353,1748851300441408483,1748851300647276338,205.868,5.195,198.342,2.331
