Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
567330820063232,False,True,1749556616472643660,1749556616625049074,152.405,0.0,1.091,3.485,7.962,0.543,0.0,11.512,0.042,0.0,127.77
81595788689409,True,False,1749556590362462634,1749556590716302098,353.839,0.286,1.653,0.0,0.76,0.076,0.001,348.088,0.91,0.0,2.065
110234630619136,False,False,1749556591988888125,1749556592365423630,376.536,0.0,0.243,0.0,0.874,0.066,0.0,372.322,0.031,0.0,3.0
1058876942188544,True,False,1749556631284573536,1749556631486498125,201.925,0.231,0.425,0.0,6.183,0.142,0.001,189.469,1.774,0.0,3.7
1240859001487361,True,False,1749556636925716989,1749556637124439300,198.722,0.371,0.201,0.0,4.326,0.087,0.001,191.01,0.608,0.0,2.118
265373144317952,False,True,1749556603467968870,1749556603859628339,391.659,0.0,0.02,3.337,5.737,0.104,0.001,380.643,0.052,0.0,1.765
189244848996352,True,True,1749556598115777828,1749556598673355426,557.578,0.088,0.228,4.813,3.641,0.84,0.003,5.406,1.32,0.0,541.239
1037032738521088,False,False,1749556630588667564,1749556630790111816,201.444,0.0,0.276,0.0,3.744,0.069,0.0,193.407,0.022,0.0,3.926
102254581383168,False,True,1749556591528148512,1749556591899558638,371.41,0.0,0.015,2.757,2.637,83.526,0.001,278.726,0.061,0.0,3.687
359733575811073,True,True,1749556608510898353,1749556608795425490,284.527,0.37,0.308,4.497,1.58,0.904,0.002,269.157,2.379,0.0,5.33
101451422498817,True,False,1749556591479504160,1749556591855859207,376.355,0.459,0.603,0.0,3.36,0.03,0.001,369.963,0.576,0.0,1.363
1155999037652992,False,False,1749556634553698076,1749556634714183122,160.485,0.0,0.017,0.0,4.528,0.109,0.0,147.387,0.029,0.0,8.415
818066715836417,True,False,1749556623834069401,1749556624034286643,200.217,0.499,0.272,0.0,4.348,1.814,0.002,189.825,0.534,0.0,2.923
40634685587456,False,False,1749556588380357845,1749556588688947332,308.589,0.001,0.021,0.0,5.44,0.072,0.0,299.585,0.017,0.0,3.453
719471446589441,False,True,1749556620781192534,1749556620980031472,198.839,0.0,0.018,2.574,4.503,0.0,0.001,188.268,0.053,0.0,3.422
910399922765824,False,True,1749556626652794918,1749556626850840836,198.046,0.0,0.638,3.654,2.898,1.099,0.001,4.442,0.054,0.0,185.26
1476579691593728,True,False,1749556644050770788,1749556644242987053,192.216,0.004,0.367,0.0,4.304,0.398,0.001,178.195,3.935,0.0,5.012
288681931833344,False,True,1749556604842754343,1749556605199075430,356.321,0.0,0.017,5.664,4.772,0.127,0.001,340.763,0.065,0.0,4.912
709485647626240,True,True,1749556620481600492,1749556620672800419,191.2,0.337,0.603,3.63,6.147,0.363,0.003,170.662,1.209,0.0,8.246
311118840987648,False,False,1749556606113134735,1749556606461154495,348.02,0.001,0.321,0.0,4.844,0.04,0.0,339.556,0.032,0.0,3.226
1449864995012609,True,True,1749556643224329492,1749556643417081406,192.752,0.056,0.532,3.358,1.87,1.665,0.002,177.469,1.798,0.0,6.002
85864986181633,False,False,1749556590588320252,1749556590947433481,359.113,0.0,0.477,0.0,4.595,0.034,0.0,352.532,0.021,0.0,1.454
855647679676416,True,False,1749556624957366670,1749556625145961223,188.595,0.049,0.306,0.0,1.017,0.552,0.001,178.848,1.09,0.0,6.732
1563471174959105,True,False,1749556646662189856,1749556646844336071,182.146,0.202,0.284,0.0,1.277,0.075,0.001,176.753,0.541,0.0,3.013
46806553591808,True,False,1749556588675710171,1749556588979023708,303.314,0.025,1.163,0.0,2.142,0.092,0.001,295.497,1.589,0.0,2.805
585026085322753,True,False,1749556616886444427,1749556617030859232,144.415,1.182,0.521,0.0,1.071,0.084,0.001,134.574,0.914,0.0,6.068
1405502277812224,False,False,1749556641890358267,1749556642081646169,191.288,0.0,0.298,0.0,1.363,0.159,0.0,181.512,0.021,0.0,7.935
231790795030529,True,False,1749556601293775833,1749556601714538264,420.762,0.082,0.828,0.0,5.05,0.071,0.001,410.364,2.612,0.0,1.754
177090091548672,False,True,1749556597035242665,1749556597618425774,583.183,0.001,0.278,4.037,2.681,0.739,0.001,4.761,0.059,0.0,570.626
1314985842049024,True,True,1749556639152521214,1749556639352774704,200.253,0.704,0.176,3.051,1.276,1.108,0.021,184.386,4.16,0.0,5.371
1526641830395905,False,True,1749556645565587420,1749556645750329902,184.742,0.0,0.019,4.828,6.425,0.567,0.0,0.0,0.03,0.0,172.873
730423613194241,True,True,1749556621126892493,1749556621324276174,197.384,0.112,0.305,4.875,4.252,3.129,0.003,1.459,0.139,0.0,183.11
517041047994369,False,True,1749556614386097474,1749556614600412854,214.315,0.0,0.26,4.833,5.695,0.306,0.001,193.022,0.049,0.0,10.149
600183024910337,False,True,1749556617257242421,1749556617430855145,173.613,0.001,0.77,1.062,9.499,0.11,0.001,159.234,0.047,0.0,2.889
533838665089024,True,True,1749556614943097053,1749556615163061730,219.965,0.0,0.375,5.454,5.49,0.359,0.003,203.338,0.739,0.0,4.207
1068781136773121,False,True,1749556631595601728,1749556631798998155,203.396,0.0,0.19,1.461,6.032,0.365,0.002,188.9,0.162,0.0,6.284
615335669530625,False,True,1749556617697071147,1749556617875833295,178.762,0.001,0.033,2.825,2.992,1.515,0.002,166.866,0.032,0.0,4.496
