Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Worker (ms),Wait (ms),Other (ms)
473833676996609,True,False,1749146938466371457,1749146938719827751,253.456,1.248,0.595,0.0,1.931,0.073,238.671,2.207,0.0,12.505
280517199003649,False,False,1749146930420290340,1749146930736515805,316.225,0.0,1.238,0.0,4.564,0.0,0.0,0.033,0.0,316.192
1246713041911808,False,True,1749146967284534813,1749146967498894082,214.359,0.0,0.418,0.0,8.502,0.046,204.865,0.029,0.0,9.419
1537379248635904,True,True,1749146976832918337,1749146977055657089,222.739,0.664,0.442,0.0,11.801,0.05,205.78,0.083,0.0,16.826
1363183965044736,True,True,1749146971065304301,1749146971281402045,216.098,0.006,0.677,0.0,7.838,0.0,204.559,1.775,0.0,9.764
254107445100545,True,True,1749146929114697542,1749146929444770690,330.073,0.329,0.0,0.0,8.53,0.443,317.01,2.052,0.0,10.568
500806071615489,True,True,1749146939559713560,1749146939828754751,269.041,0.103,0.0,0.0,9.021,0.06,253.111,2.471,0.0,13.399
1198450494406657,False,False,1749146965809027795,1749146965997642909,188.615,0.001,0.013,0.0,5.107,1.42,177.455,0.02,0.0,9.72
1143994604060672,True,True,1749146964166678071,1749146964342785754,176.108,1.128,1.29,0.0,13.033,0.476,149.623,2.311,0.0,23.698
991725128515585,False,True,1749146958815698968,1749146959052604110,236.905,0.0,0.0,0.0,7.336,0.058,228.715,0.052,0.0,8.08
407450662469632,True,True,1749146935819815508,1749146936066540624,246.725,0.254,0.206,0.0,6.981,0.111,236.341,0.563,0.0,9.71
1076086876143616,True,True,1749146961849904307,1749146962078601134,228.697,0.0,0.314,0.0,9.519,0.065,214.905,5.351,0.0,8.376
1506219260903425,False,False,1749146975794859946,1749146976014856038,219.996,0.001,0.396,0.0,0.065,0.076,0.0,0.023,0.0,219.897
628718787624961,True,False,1749146944661669194,1749146944910562448,248.893,0.045,0.35,0.0,3.191,0.024,235.777,1.518,0.0,11.574
647749787713536,True,False,1749146945409983178,1749146945663109966,253.127,0.003,0.468,0.0,1.881,0.062,245.531,2.566,0.0,4.968
1035112888139776,True,False,1749146960397876032,1749146960623663166,225.787,0.542,0.639,0.0,1.474,0.125,217.906,0.452,0.0,7.304
1391522159263745,True,True,1749146971976939762,1749146972192222313,215.283,0.281,0.0,0.0,9.764,0.09,198.93,0.895,0.0,15.368
1201890763210753,True,False,1749146965907845888,1749146966091726462,183.881,0.558,0.0,0.0,0.0,0.078,176.65,2.698,0.0,4.455
