Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Worker (ms),Other (ms)
733885356834817,False,False,1749117702912822522,1749117703242586648,329.764,0.036,325.609,0.021,4.098
1242525448798209,False,True,1749117729291861402,1749117729587938410,296.077,1.533,286.852,0.04,7.652
344632470798336,True,True,1749117686020364210,1749117686240550662,220.186,5.814,214.976,3.504,0.0
426460187721728,False,False,1749117688846009378,1749117689083855979,237.847,0.124,232.194,0.024,5.505
87956635254784,True,True,1749117675379958640,1749117675683900680,303.942,5.729,292.565,3.197,2.451
702875692957696,True,False,1749117701061629627,1749117701464324613,402.695,2.767,394.512,4.489,0.927
1127871296831489,False,False,1749117724134521250,1749117724417157556,282.636,0.036,266.174,0.028,16.399
661008351756288,True,False,1749117698587245797,1749117698958017417,370.772,3.271,366.256,3.376,0.0
483651972235265,True,False,1749117690924257548,1749117691160826263,236.569,1.741,228.476,3.815,2.537
1039274711449600,False,True,1749117719903317053,1749117720247953553,344.637,20.253,334.294,0.037,0.0
704782658437121,False,True,1749117701178034897,1749117701580967797,402.933,257.746,396.993,0.036,0.0
690506187145216,True,False,1749117700317072400,1749117700702214308,385.142,2.987,378.375,3.348,0.432
488213227503617,False,False,1749117691090910051,1749117691323549070,232.639,0.04,225.508,0.023,7.068
1202788411375617,True,True,1749117727464760974,1749117727759234548,294.474,9.813,287.652,3.507,0.0
1041645533396993,False,True,1749117720031633689,1749117720362481477,330.848,0.809,321.911,0.03,8.099
1072479103614977,False,True,1749117721561787877,1749117721859505237,297.717,1.088,285.086,0.038,11.507
407639641030656,False,True,1749117688191813271,1749117688419807780,227.995,5.184,217.146,0.048,5.617
1100057088622592,False,False,1749117722856915178,1749117723152003590,295.088,0.068,287.356,0.025,7.64
251715148316672,False,False,1749117682712186292,1749117682952669084,240.483,0.064,229.725,0.023,10.67
562155384471552,True,False,1749117693880145519,1749117694141919959,261.774,2.645,257.128,3.93,0.0
356319076810753,False,False,1749117686418429463,1749117686645842636,227.413,0.039,220.071,0.024,7.279
509202732679168,False,True,1749117691859492930,1749117692103620156,244.127,6.056,233.088,0.07,4.913
316075233247233,False,True,1749117685028287715,1749117685260676607,232.389,2.728,219.74,0.04,9.88
919174540951552,False,False,1749117713385088243,1749117713699220166,314.132,0.042,305.113,0.021,8.955
1253022348869632,True,True,1749117729774257948,1749117730082664292,308.406,5.705,302.118,3.812,0.0
39827231735808,False,False,1749117673488839338,1749117673717482848,228.644,0.031,220.706,0.024,7.883
602626861301761,False,False,1749117695626686375,1749117695926900386,300.214,0.036,294.399,0.021,5.759
346908803465216,True,True,1749117686094140608,1749117686318973104,224.832,9.243,213.712,3.451,0.0
984556828098561,True,False,1749117716739265244,1749117717086453418,347.188,3.383,343.249,4.851,0.0
207919366799360,False,False,1749117680903911598,1749117681186968660,283.057,0.134,278.06,0.021,4.842
1145953109147648,True,True,1749117724942990621,1749117725225725741,282.735,5.407,274.57,3.747,0.0
925569747255296,True,True,1749117713697461914,1749117714022268775,324.807,138.693,319.795,3.954,0.0
717697625096192,True,False,1749117701985895942,1749117702372707346,386.811,2.742,379.689,4.789,0.0
