Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Worker (ms),Other (ms)
276832117063681,False,False,1749116743606069317,1749116746415231903,2809.163,0.028,2801.816,0.033,7.286
174216758427649,True,True,1749116710106255798,1749116711634241798,1527.986,10.984,0.0,0.537,1516.465
178859618074625,False,False,1749116711191073335,1749116712762706516,1571.633,0.033,1566.016,0.018,5.567
165266046582785,False,True,1749116708026385952,1749116709517113466,1490.728,6.591,1483.475,0.052,0.61
270200687558656,True,False,1749116740923467569,1749116743513179487,2589.712,0.457,2585.462,5.01,0.0
42382737276929,False,False,1749116690085985067,1749116690652271131,566.286,0.034,0.0,0.035,566.217
230025563471873,True,False,1749116725662478324,1749116727783809252,2121.331,0.253,2117.261,3.12,0.697
155104153960448,True,True,1749116705906095848,1749116707270524292,1364.428,11.663,0.0,0.412,1352.354
213880781406208,True,True,1749116720413049261,1749116722432136666,2019.087,4.825,0.0,0.491,2013.772
179250460098561,True,True,1749116711286444637,1749116712859320638,1572.876,8.629,0.0,6.162,1558.085
143816979906560,False,False,1749116703688283256,1749116704917717017,1229.434,0.028,1223.899,0.031,5.476
95318209200129,False,True,1749116695964035960,1749116696873210611,909.175,7.684,0.0,0.042,901.449
142193482268673,False,True,1749116703340253061,1749116704588229518,1247.976,13.419,0.0,0.035,1234.523
48004849467393,False,True,1749116690575443075,1749116691166895200,591.452,5.834,0.0,0.052,585.566
47167330844673,True,False,1749116690509297362,1749116691106672114,597.375,0.071,591.662,0.393,5.249
197830488621057,True,True,1749116715859095096,1749116717625899991,1766.805,7.028,1763.748,1.044,0.0
109603270426625,False,True,1749116698046849764,1749116699020220428,973.371,1.496,0.0,0.048,971.827
146149147148288,True,True,1749116704140750027,1749116705418454211,1277.704,14.138,0.0,4.425,1259.141
248081605984256,False,True,1749116732250610938,1749116734813592715,2562.982,6.11,0.0,0.056,2556.816
115448720916481,True,False,1749116698944181646,1749116699927146861,982.965,0.233,979.129,2.065,1.537
241355687198721,False,True,1749116729632554205,1749116732119652009,2487.098,6.449,0.0,0.038,2480.61
13078175416321,True,True,1749116687997851903,1749116688342506166,344.654,7.554,341.373,1.785,0.0
260270723170304,False,False,1749116737097324858,1749116739594868001,2497.543,0.033,2494.294,0.018,3.199
37615323578368,False,False,1749116689688246204,1749116690221235338,532.989,0.051,528.216,0.019,4.703
228174432567297,True,True,1749116725064625682,1749116727181900427,2117.275,10.221,2114.027,0.508,0.0
268280837177344,True,True,1749116740164588857,1749116742739646818,2575.058,6.89,2568.041,0.659,0.0
130605660504065,False,False,1749116701293957472,1749116702433104142,1139.147,0.027,1137.98,0.031,1.108
264569985433601,True,False,1749116738735265996,1749116741245121274,2509.855,0.309,2505.065,4.512,0.0
276187871969280,True,False,1749116743323591898,1749116746088902590,2765.311,0.107,2761.999,0.479,2.726
248884764868608,False,True,1749116732503083212,1749116735074672297,2571.589,10.169,2569.389,0.026,0.0
27861452849153,True,False,1749116689032396800,1749116689477290193,444.893,0.174,437.68,2.3,4.74
262126149042176,False,True,1749116737772322227,1749116740286245921,2513.924,12.128,2508.562,0.047,0.0
113417201385472,False,True,1749116698635736409,1749116699648509230,1012.773,6.715,1006.275,0.08,0.0
5269924872192,True,True,1749116687427025704,1749116687945567006,518.541,32.357,0.0,0.284,485.901
237713554931712,False,False,1749116728259712185,1749116730646550390,2386.838,0.036,0.0,0.022,2386.781
166000485990401,True,True,1749116708245221823,1749116709685829531,1440.608,19.857,1435.23,3.553,0.0
225305394413569,False,False,1749116724114852230,1749116726245047806,2130.196,0.018,2123.803,0.03,6.344
191817534406656,True,True,1749116714313104294,1749116715969576997,1656.473,11.174,0.0,0.445,1644.853
2160368549888,False,True,1749116687399841154,1749116687788947552,389.106,23.397,0.0,0.037,365.672
23961622544384,False,False,1749116688684891965,1749116689116127531,431.236,0.05,422.998,0.025,8.163
101739185307648,True,True,1749116696872170589,1749116697820349124,948.179,3.74,0.0,0.895,943.544
149726854905856,True,False,1749116704814734465,1749116706137303635,1322.569,0.074,1316.583,0.922,4.99
